,survey,random_order,reason,translation,roy_categorized
166,ecv2022,166,ABSENT PENDANT LA VACCINATION,Absent during vaccination,16
167,ecv2020,167,"Le jour o� je suis venus pour faire vacciner mon enfant malgr� mon insistance, les prestataires on pr�text� la fatigue pourtant je suis un journalier vivant aux travaux de mes mains. C'est alors que je ne suis plus rentr�.","The day I came to vaccinate my child despite my insistence, the providers claimed they were too tired even though I am a day laborer living off the work of my hands. That's why I did not return",42
168,ecv2021,168,GREVE DES PRESTATAIRE,Providers' strike,23
169,ecv2022,169,INCERTITUDE,Uncertainty,28
170,ecv2021,170,OUBLIE DE LA DATE DU RENDEZ-VOUS DE LA VACCINATION,Forgot the vaccination appointment date,37
171,ecv2020,171,Ignorance des autres vaccins,Ignorance of other vaccines,12
172,ecv2020,172,J me suis pas  rappel�,I did not remember,37
173,ecv2020,173,LA MAMAN IGNORE LA DATE DE RDV POUR LA PRISE DE VAR ET VAA,The mother forgets the appointment date for VAR and VAA,37
174,ecv2022,174,LA MERE EST DECEDES,The mother has died,4
175,ecv2021,175,LA PEUR DE LA MERE SUITE A L ABCES QUI AVAIT EU SON FILS AINE APRES LA VACCINATION,Mother's fear due to the abscess that her eldest son had after vaccination,10
176,ecv2022,176,FLACON VAR POUR BEAUCOUP D ’ ENFANTS ET NON UN,VAR vial for many children and not one,38
177,ecv2022,177,NON RECU LE VPO DE NAISSANCE,Did not receive the birth OPV,41
178,ecv2020,178,"ABSENCE PROLONG�E DU DOMICILE ,OUBLI DE RENDEZ VOUS","Prolonged absence from home, forgot the appointment",25
179,ecv2020,179,CALANDRIER ENCOURS,Schedule in progress,32
180,ecv2020,180,NAISSANCE A DOMICILE,Home birth,40
181,ecv2020,181,LES VACCINATEURS NE PASSENT PLUS,Vaccinators no longer pass by,16
182,ecv2020,182,� re�u tout vaccin sauf vaa et var,Received all vaccines except VAA and VAR,33
183,ecv2020,183,LE GRAND PERE DE JEAN EST MUPOSTOLO,Jean's grandfather is Mupostolo,33
184,ecv2021,184,MÈRE N'EST PAS INFORMÉE SUR VACCINATION DE ROUTINE OU CPS,Mother is not informed about routine vaccination or CPS,11
185,ecv2020,185,REFUS PERSONNEL,Personal refusal,9
186,ecv2020,186,FATIGUE ET NEGLIGENCE,Tiredness and negligence,39
187,ecv2020,187,On �tait � voyage,We were on a trip,25
188,ecv2021,188,LA GARDIENNE DÉCLARE QUE L'ENFANT A REÇU TOUS LES VACCINS,The caregiver declares that the child received all the vaccines,35
189,ecv2022,189,NEGLIGEANCE DE LA MERE GARDIENNE,Mother's negligence,39
190,ecv2022,190,MERE FATIGUÉE PAR LA GROSSESSE,Mother tired due to pregnancy,3
191,ecv2020,191,Elle a eu peur d �tre contamin� par le covid,She was afraid of being infected by COVID,31
192,ecv2020,192,COVID-19,COVID-19,31
193,ecv2020,193,N�gligence d� � l'exode rural.,Negligence due to rural exodus,25
194,ecv2021,194,INTERDICTION GRAND PERE DE VACCINER SES PETITS FILS,Grandfather forbids vaccinating his grandsons,22
195,ecv2020,195,OUBLIE,Forgotten,37
196,ecv2020,196,LE VACCIN  INJECTABLE  DONNE  DE LA FI�VRE,The injectable vaccine causes fever,10
197,ecv2022,197,"LORS DE SEANCES DE VACCINATION, NOUS ETIONS DANS DES CAMPEMENTS POUR CULTIVER","During vaccination sessions, we were in camps to cultivate",34
198,ecv2020,198,"NONCHALANCE, MOINS DE 9 MOIS","Indifference, less than 9 months",32
199,ecv2020,199,DEPLACEMENT DE LA M�RE POUR LE SOIN,Mother's movement for care,25
200,ecv2020,200,PEUR DE COVID19,Fear of COVID-19,31
201,ecv2021,201,La mort de la grand mère,Grandmother's death,4
202,ecv2021,202,NEGLIGEANCE DE LA MAMAN,Mother's negligence,39
203,ecv2020,203,D�c�s de la maman et n�gligence,Mother's death and negligence,4
204,ecv2020,204,Parce que l'enfant n'a pas encore totalise neuf mois,Because the child has not yet reached nine months,32
205,ecv2022,205,SEJOURS DE LA FAMILLE AU CHAMPS,Family stays in the fields,34
206,ecv2020,206,Le p�re absent dans  le menage,Father absent from the household,4
207,ecv2020,207,SELON LA M�RE MADO A PRIS TOUS LES VACCINS MAIS ELLE LA PERDUE LA FILLE,"According to the mother, Mado received all the vaccines but she lost her daughter",35
208,ecv2021,208,LA MAMAN A DÉMÉNAGÉ AU CHAMPS,The mother moved to the fields,34
209,ecv2020,209,TRAVAUX CHAMP�TRES ME PRENANT BEAUCOUP DE TEMPS,Fieldwork takes up a lot of my time,34
210,ecv2021,210,MANQUE D’ARGENT,Lack of money,19
211,ecv2021,211,VACCIN DONNE LA MALADIE A NOS ENFANTS,Vaccines cause disease in our children,8
212,ecv2022,212,ABSENCE DE PRISE EN CHARGE DES EFFETS SECONDAIRES DE VACCINS PAR LES PRESTATAIRES DE FOSA,Lack of management of vaccine side effects by healthcare providers,10
213,ecv2021,213,MERE EN CEINTE FATIGUE,Pregnant mother tired,3
214,ecv2020,214,ENFANT N'A PAS ENCORE 9MOIS,Child has not yet reached 9 months,32
215,ecv2020,215,RETOURNER CERTAINES MERES POUR RESPECTER LA DISTENCIATION,Turning some mothers away to maintain distancing,24
216,ecv2020,216,D�PLACEMENT FAMILIAL VERS LE CHAMPS � PLUSIEURS KILOM�TRES DU POSTE DE SANT� KANGENGE,Family moved to the fields several kilometers from the Kangenge health post,34
217,ecv2020,217,L ENFANT N A PAS ENCORE FINI SON CALENDRIER VACCINAL,The child has not yet completed his vaccination schedule,32
218,ecv2021,218,Trop des voyages,Too much travel,25
219,ecv2022,219,PROBLEME DE REMPLISSAGE DE LA CARTE DE VACCINATION,Problem filling out the vaccination card,43
220,ecv2020,220,"L'INFIRME TITULAIRE ( IT )D'AIRE DE SANT� SWAMASANGU A REFUSE DE DONN�ES DES ENFANTS MAMBAMBA LES VACCIN, POUR UNE CONFLIT D'UNE BICYCLETTE DE RE.CO",The head nurse of Swamasangu health area refused to give vaccines to children from Mambamba village due to a conflict over a RE.CO bicycle,42
221,ecv2021,221,NEGLIGEANCE  DES PERSONNES  DE SANTE ENVERS  LES MAMAN,Negligence of health personnel towards mothers,42
222,ecv2021,222,AVAIT EFFECTUÉ UN DÉPLACEMENT,Had traveled,25
223,ecv2020,223,L'enfant na pas encore totalis� l'�ge,The child has not yet reached the age,32
224,ecv2020,224,VAR ET VAA A 9 MOIS,VAR and VAA at 9 months,32
225,ecv2021,225,CENTRE DE SANTÉ FERMÉ,Health center closed,18
226,ecv2021,226,VOYAGE EN DÉPLACEMENT DE TOUT LE MÉNAGE DURANT LONGTEMPS,The whole household was away for a long time due to travel,25
227,ecv2020,227,Crainte d'infection � covid19,Fear of COVID-19 infection,31
228,ecv2022,228,ABSENCE DE LA MERE DE L’ENFANT,Absence of the child's mother,25
229,ecv2020,229,ELLE PASSE TOUT SON TEMPS AU CHAMPS,She spends all her time in the fields,34
230,ecv2020,230,DEPLACEMENT POUR LA RECOLTE,Moving for the harvest,34
231,ecv2020,231,N APAS ENCORE ATTEINT 9MOIS,Has not yet reached 9 months,32
232,ecv2020,232,"Il a encore l,�ge de 6 mois",He is still 6 months old,32
233,ecv2022,233,CALLENDRIER EN COURS,Schedule in progress,32
234,ecv2020,234,M�RE AVAIT VOYAGE,Mother traveled,25
235,ecv2021,235,"CONFINEMENT ET GREVE DES INFIRMIER, LE CENTRE ÉTAIT FERMÉ","Lockdown and nurses' strike, the center was closed",23
236,ecv2020,236,IL N A PAS ENCORE ATTEINT 9MOIS POUR TERMINER SES VACCINS,Has not yet reached 9 months to complete his vaccines,32
237,ecv2021,237,DÉPLACEMENT  DES  PARENTS,Parents' movement,25
238,ecv2020,238,Non respect des rendez-vous de vaccination par les parents,Parents not adhering to vaccination appointments,33
239,ecv2021,239,FOYER INSTABLE,Unstable home,4
240,ecv2020,240,CONFLIT ARM� AYANT OCCASIONN� LA FUITE,Armed conflict causing flight,26
241,ecv2022,241,Rupture stock,Stockout,17
242,ecv2020,242,N'a pas encore compl�ter 9 mois pour recevoir du VAR et VAA.,Has not yet completed 9 months to receive VAR and VAA,32
243,ecv2020,243,Probl�mes du coronavirus,Coronavirus issues,31
244,ecv2020,244,"OUBLIE , NEGLIGEANCE","Forgetfulness, negligence",39
245,ecv2021,245,Deplacement de la mère  vers une autre province,Mother's movement to another province,25
246,ecv2021,246,L'ENFANT VACCINE MAIS L' INFIRMIER N'EN4EGISTRE PAS,The child was vaccinated but the nurse did not record it,35
247,ecv2022,247,MANQUE DE MOYEN POUR LE DEPLACEMENT DANS LE VILLAGE OU SE FAIT LA VACCINATION,Lack of means for travel to the village where vaccination is done,1
248,ecv2021,248,TRÈS OCCUPÉE,Very busy,3
249,ecv2020,249,La m�re de l'enfant �tait au campement,The child's mother was at the campsite,34
250,ecv2021,250,PAS DE RAPPEL DES INFIRMIERS,No reminders from nurses,11
251,ecv2020,251,CARTE EST RESTE AU CS,Card is left at the health center,43
252,ecv2020,252,La m�re �tait en d�placement avec l'enfant,The mother was traveling with the child,25
253,ecv2020,253,PROCHAIN RENDEZ VOUS DANS 3 MOIS,Next appointment in 3 months,32
254,ecv2022,254,DECES DE SON ENFANTS APRES ABCES  POST VACCINAL,Death of her child after post-vaccination abscess,10
255,ecv2021,255,LA MERE  EN DEUIL,Mother in mourning,4
256,ecv2020,256,CALENDRIER ENCOURS,Schedule in progress,32
257,ecv2020,257,L'enfant n'a pas encore atteint 9 pour recevoir d'autres anti g�ne qui reste,The child has not yet reached 9 to receive other antigens that remain,32
258,ecv2020,258,DESINTERESSEMENT DE LA MAMAN,Mother's disinterest,9
259,ecv2020,259,PROBLEME DE RELIGION,Religious issues,21
260,ecv2020,260,NEGLIGENCE  DE MAMAN,Mother's negligence,39
261,ecv2020,261,LONG VOYAGE,Long journey,1
262,ecv2020,262,I'SECURITE QUI A PROVOQU� LE D�PLACEMENT DE CE DERNIERS.,Insecurity causing displacement,26
263,ecv2020,263,N'A PAS ENCORE ATTEINT L'AGE,Has not yet reached the age,32
264,ecv2020,264,ATTEND SEULEMENT SON DERNIER RDV,Just waiting for his last appointment,32
265,ecv2021,265,VOYAGE DE L'ENFANT AVEC SA MERE,Child traveling with his mother,25
266,ecv2022,266,Insecurity,Insecurity,26
267,ecv2020,267,RESTE LE VACCIN DE 9 MOIS L'ENFANT A 7 MOIS,"Waiting for the 9-month vaccine, the child is 7 months old",32
268,ecv2021,268,MENAGE EN REFUGE,Family in refuge,25
269,ecv2020,269,Enfant moins de 9 mois pour VAR et VAA,Child under 9 months for VAR and VAA,32
270,ecv2020,270,"La maman est morte d�s la naissance du b�b� alors, sa mort a perturb�e les vaccins de l'enfant.","The mother died at the baby's birth, so her death disrupted the child's vaccinations",4
