survey,random_order,reason,translation,roy_categorized
ecv2021,28,"ENFANT VACCINÉ SELON LA MÈRE MAIS LE CS N,A PAS SIGNIFIÉ SUR LA CARTE","Child vaccinated according to the mother, but the health center did not record it on the card",35
ecv2022,29,INSECURITE CONFLIT ETHNIQUE,Insecurity due to ethnic conflict,26
ecv2020,30,Rupture des seringue,Stockout of syringes,36
ecv2020,31,Calendrier de vaccination en cours,Vaccination schedule in progress,32
ecv2020,32,MAUVAISE SENSIBILISATION DE PARENT PAR LES PRESTATEURS DU CS POUR QUE LES ENFANTS SOIENT VACCINES AVEC TOUS LES ANTIGINES,Poor sensitization of parents by the health center's providers for vaccinating children with all antigens,2
ecv2021,33,LA  GRÈVE  DES INFIRMIERS,Nurses' strike,23
ecv2022,34,LES ETUDES DE LA MERE,Mother's studies,3
ecv2020,35,Calendrier vaccinal encours,Vaccination schedule in progress,32
ecv2020,36,LENFANT A MOINS DE 6MOIS POUR RECEVOIR VAA ET LE VAR,The child is under 6 months old to receive VAA and VAR,32
ecv2022,37,DEPLACEMENT DE LA MERE VERS PUNIA,Mother's travel to Punia,25
ecv2020,38,La maman �tais d�courag� car elle a vu juste dans la distribution des intrants nutritifs au centre elle a d�cid� de ne plus partir avec l'enfant au vaccin,The mother was discouraged because she saw only the distribution of nutritional inputs at the center and decided not to go for the child's vaccination anymore,42
ecv2021,39,Ne sais pas,Don't know,28
ecv2022,40,PAS DE PROGRAMME DE VACCINATION AU VILLAGE,No vaccination program in the village,17
ecv2020,41,PARESSE DE LA MAMAN,Mother's laziness,39
ecv2022,42,DÉPLACEMENT DE MÈRE DE L'ENFANT VERS ILOTS,Mother of the child moved to islets,25
ecv2022,43,ENFANT A BEAUCOUP PLEURE LORS DE LA PREMIERE VACCINATION,Child cried a lot during the first vaccination,10
ecv2022,44,Insecurity suite massacre,Insecurity following a massacre,26
ecv2020,45,IL A TOUT PRIS,He has taken everything,35
ecv2021,46,CONFLIT COMMUNAUTAIRE,Community conflict,26
ecv2021,47,PAS NOTIFIER,Not notified,11
ecv2022,48,LA FAMILLE ABSENTE,The family was absent,25
ecv2020,49,Trop des d�placements pour moi.,Too much moving around for me,25
ecv2021,50,GREVE DES PRESTATAIRES DES SOINS,Strike by healthcare providers,23
ecv2021,51,LE VACCIN CONTIENT LE CORONAVIRUS,The vaccine contains the coronavirus,27
ecv2020,52,OUBLI�,Forgotten,37
ecv2021,53,NÉGLIGEANCE DE LA MERE,Mother's negligence,39
ecv2020,54,NOUS SOMMES  OBLIG�S  DE PAYER UNE FOIS L' ENFANT MALADE  APR�S  VACCINATION,We are forced to pay once the child gets sick after vaccination,10
ecv2020,55,"L'INFIRME TITULAIRE ( IT ) D'AIRE DE SANT� SWAMASANGU A REFUSE DE DONN�ES DES ENFANTS DE LA VILLAGE MAMBAMBA LES VACCIN, POUR UNE CONFLIT D'UNE BICYCLETTE DE RE.CO",The head nurse of Swamasangu health area refused to give vaccines to children from the village of Mambamba due to a conflict over a bicycle from RE.CO,42
ecv2021,56,JE SORS SOUVENT,I often go out,25
ecv2020,57,Nous �tions en Ouganda et sans carte de r�fugi�s,We were in Uganda and without refugee cards,40
ecv2020,58,LES VACCINS DE 9 MOIS SONT DONNES SELON LE NOMBRE D ENFANTS PRESENTS AU MOINS 10 ENFANTS ON OUVRE LES VACCINS,"The 9-month vaccines are given depending on the number of children present, at least 10 children to open the vaccines",38
ecv2020,59,N A PAS ENCORE ATTEINT 9 MOIS,Has not yet reached 9 months,32
ecv2020,60,On devait atteindre un effectif consid�rable pour ouvrir le flacon de VAA et VAR,A significant number of participants was required to open the vial of VAA and VAR,38
ecv2020,61,Craintes de la mort causer par le vaccins,Fears of death caused by vaccines,10
ecv2021,62,"RUPTURE DE PCV1,2,3.","Stockout of PCV1,2,3.",17
ecv2021,63,ELLE A TOUT RECU,She received everything,35
ecv2020,64,FATIGUE  SOUVENT,Often tired,3
ecv2020,65,Crainte de covid,Fear of COVID,31
ecv2020,66,NEGLIGENCE DE LAMERE,Mother's negligence,39
ecv2020,67,Calendrier encours,Schedule in progress,32
ecv2020,68,"Elle souhaite d,�tre rappel� par le Reco",She wishes to be reminded by the Reco,11
ecv2021,69,NEGLIGENCE PARENTS,Parental negligence,39
ecv2021,70,LES PARENTS SE SONT DEPLACES AVEC L'ENFANT DANS LA FORET POUR LES TRAVAUX CHAMPETRES,Parents moved with the child to the forest for fieldwork,34
ecv2020,71,L'enfant a 6 mois son calendrier est en cours.,"The child is 6 months old, his schedule is in progress.",32
ecv2020,72,Oublie,Forgotten,37
ecv2021,73,QUAND LE VACCINE IL TOMBE MALADE,Gets sick when vaccinated,10
ecv2021,74,LES VACCINATEURS MA DIT FINI,The vaccinators told me it's finished,35
ecv2020,75,MANQUE DE PERSONNE POUR M'AIDER A TRANSPORTER L'AUTRE JUMEL QUI VIENT DE DECEDER,Lack of someone to help me transport the other twin who just died,4
ecv2020,76,MAMAN ETAIT MALADE,Mother was sick,4
ecv2020,77,"ENFANT ETAIT SEUL POUR RECEVOIR LE VAR ET VAA, RENDEZ VOUS REPORTE","Child was alone to receive VAR and VAA, appointment postponed",38
ecv2021,78,PAR NÉGLIGENCE,By negligence,39
ecv2020,79,VPO non re�u suite au non respect de rendez-vous par la m�re.,OPV not received due to the mother missing the appointment.,41
ecv2022,80,PERSONNEL ABSENT,Staff absent,16
ecv2020,81,L'enfant na pas beneficie de rotavirus,The child did not benefit from the rotavirus vaccine,33
ecv2020,82,M�RE TR�S NEGLIGENTE,Very negligent mother,39
ecv2020,83,VENANT DE KIVU,Coming from Kivu,25
ecv2021,84,RUPTURE EN VAR ET VAA  A TROIS SEANCE  DE VACCINATION,Stockout of VAR and VAA at three vaccination sessions,17
ecv2022,85,RUPTURE DE VAA,Stockout of VAA,17
ecv2022,86,MAQUIS DANS  LES  CAMPEMENTS  LOINTAINS,Lack of supplies in distant camps,17
ecv2022,87,ENFANT MALADE NON ENVOYER,Sick child not sent,5
ecv2020,88,DEPLACEMENT DE LA MAMAN,Mother's move,25
ecv2020,89,ATTENDS LE VACCIN DE 9 MOIS,Waiting for the 9-month vaccine,32
ecv2022,90,RUPTURE DE STOCK BCG,Stockout of BCG,17
ecv2021,91,TOUJOURS AU CHAMPS,Always in the fields,34
ecv2020,92,NEGLIGENGE DE LA MERE,Mother's negligence,39
ecv2021,93,LES CENTRES DE SANTÉ FERMÉ SONT FERMÉS,Health centers are closed,16
ecv2020,94,Rupture en rotavirus et en retard de compl�ter les deux derni�res doses VAA ET VAR,Stockout of rotavirus and delay in completing the last two doses of VAA and VAR,17
ecv2022,95,LES DATES NE SONT PAS ECRITES SUR LA FICHE,Dates are not written on the card,29
ecv2020,96,NOUS VIVONS REGULIEREMENT AU CHAMP,We regularly live in the field,34
ecv2021,97,PROCHAINE RDV,Next appointment,32
ecv2020,98,L' enfant n'a que 8 mois,The child is only 8 months old,32
ecv2022,99,L'ENFANT RESTE SOUVENT AU CHAMPS AVEC SES PARENTS,The child often stays in the fields with his parents,34
ecv2020,100,Il est compl�tement vaccin�,He is fully vaccinated,35
ecv2020,101,LES PARENTS ETAIENT A LA CAMPAGNE DE CHENILLE,Parents were at a caterpillar campaign,25
ecv2020,102,Voyage aussi,Travel as well,25
ecv2020,103,INSTABILITE SUITE AUX DIVERS DEPLACEMENTS,Instability due to various movements,25
ecv2022,104,NOMBRE D ENFANT INSUFFISANT POUR VACCINER,Insufficient number of children to vaccinate,38
ecv2020,105,ENFANT MOIN DE 9MOIS CALENDRIER VACCINAL ENCOURS,"Child under 9 months, vaccination schedule in progress",32
ecv2021,106,DECES DE 2 JUMEAUX SUR 3,Death of 2 twins out of 3,4
ecv2020,107,PAS D'ARGENT POUR ACHETER LA FICHE,No money to buy the card,19
ecv2020,108,MERE OCCUPEE,Mother busy,3
ecv2020,109,LA M�RE D�CLARE QUE JOS� A PRIS TOUT LE VACCIN,The mother declares that Jos� has taken all the vaccines,35
ecv2022,110,FAMILLE ETAIT AU CHAMPS,Family was in the fields,34
ecv2022,111,DEPLACEMENT DE LA MERE,Mother's move,25
ecv2020,112,LA VACCINATION NE WE FAIT PAS EN BROUSSE OH ON CULTIVE NOS CHAMPS,Vaccination does not happen in the bush where we farm,34
ecv2020,113,L'enfant a 8 mois,The child is 8 months old,32
ecv2020,114,Il reste le dernier rendez-vous,The last appointment remains,32
ecv2022,115,MERE EPROUVEE,Mother is distressed,4
ecv2020,116,La structure n'a pas organis� le reste des s�ances de vaccination,The facility did not organize the rest of the vaccination sessions,18
ecv2022,117,FUIRE LA GUERRE ENTRE TEKE ET YAKA,Fleeing the war between Teke and Yaka,26
ecv2021,118,GREVE DU PERSONNEL(PROSANTE).,Strike by the health staff,23
ecv2022,119,L enfant et sa mere vivaient loin des FOSA,The child and his mother lived far from the health facilities,1
ecv2022,120,L'ENFANT SE DEPLACES À TOUT MOMENT AVEC SA MERE,The child moves around at any time with his mother,25
ecv2020,121,L ENFANT A REUSSI TOUT SES VACCINS,The child has received all his vaccines,35
ecv2020,122,"ENFANT NE A DOMICILE ,PAS D 'INT�R�T POUR LA M�RE","Child born at home, no interest from the mother",12
ecv2022,123,MERE EN DEPLACEMENT,Mother in transit,25
ecv2020,124,Le calendrier vacc en cour,Vaccination schedule in progress,32
ecv2020,125,Craintes des effets secondaires lieu � la vaccination.,Fears of side effects related to vaccination,10
ecv2020,126,L'enfant attend le vaccin de 9mois,The child is waiting for the 9-month vaccine,32
ecv2020,127,Manque d'administration de rotavirus,Lack of administration of rotavirus vaccine,17
ecv2020,128,CHAQUE MARDI ELLE VOYAGE POUR ALLER VENDRE .,Every Tuesday she travels to sell,25
ecv2020,129,LA MERE A ACCOUCHE DANS UN BATEAU AU COURS D UN VOYAGE,The mother gave birth on a boat during a trip,40
ecv2022,130,L'ENFANT VACCINER  MAIS LES VACCIN  NON MENTIONNÉS  DANS LA FICHE,The child was vaccinated but the vaccines are not mentioned on the card,29
ecv2020,131,D�PLACEMENT DES PARENTS DE KISANGANI POURNBOMESA,Parents' movement from Kisangani to Bomesa,25
ecv2020,132,VOYAGE DE LA MERE DE DELPHIN,Delphin's mother's trip,25
ecv2020,133,Par aublie,By forgetfulness,37
ecv2020,134,Maman a perdu la carte,Mother lost the card,29
ecv2020,135,L'enfant a 6 moid,The child is 6 months old,32
ecv2020,136,LA M�RE TROP OCCUPE LE JOUR DE LA VACCINATION,Mother too busy on the day of vaccination,3
ecv2020,137,PAS DE VACCIN POUR L ENFANT NEE EN DEHORS DU CENTRE,No vaccine for the child born outside the center,40
ecv2022,138,LA MERE DE L’ENFANT PASSE PLUS DE JOURS AU CHAMP,The child's mother spends most of her days in the field,34
ecv2020,139,ELLE RESTE AUX CHAMPS ET ELLE EST VENU UNIQUEMENT POUR LES MOUSTIQUAIRES ET CHAQUE FOIS QU IL Y A VACCIN ELLE EST TOUJOURS AUX CHAMPS,"She stays in the fields and only came for the mosquito nets, and whenever there is a vaccination, she is always in the fields",34
ecv2020,140,coupole HOSTILE � LA VACCINATION  ET �VOQUE LES EFFETS SECONDAIRES DE LA VACCINATION,Couple hostile to vaccination and mentions side effects of vaccination,9
ecv2022,141,"MERE RESTÉE  A L,ETRANGE",Mother stayed abroad,25
ecv2020,142,DONC L'ENFANT EST NE DANS LA BROUSSE.,"Therefore, the child was born in the bush",40
ecv2020,143,LA MERE NE CONNA�T PAS,Mother does not know,28
ecv2020,144,Effets n�fastes,Adverse effects,10
ecv2021,145,TRAVAUX CHAMPETRE,Fieldwork,34
ecv2022,146,"MERE CESARISEE, CONGE MEDICAL","Cesarean mother, medical leave",4
ecv2020,147,L'enfant n'a pas encore atteint 9 mois .,The child has not yet reached 9 months,32
ecv2022,148,"IGNORANCE, ABSENCE DE FOSA DANS LE VILLAGE, PAS DE SENSIBILISATION DANS LE CADRE DE VACCINATION","Ignorance, absence of health facilities in the village, no awareness in the context of vaccination",12
ecv2020,149,DEPUIS LA MORT DE SA M�RE ON A PERDU SA FICHE,"Since the death of his mother, we lost his card",4
ecv2020,150,Passe le gros de son temps au champs,Spends most of his time in the fields,34
ecv2020,151,LES VACCINS SONT CAUSES DES MALADIES,Vaccines cause diseases,8
ecv2020,152,L' enfant reste longtemps au champ et le vaccinateur n' arrive pas la bas,"The child spends a lot of time in the field, and the vaccinator does not reach there",34
ecv2020,153,SUIS SOUVENT AU CHAMP,I am often in the field,34
ecv2020,154,J'attends le 9ieme mois,I'm waiting for the 9th month,32
ecv2020,155,LA FAMILLE VIVENT AU NIVEAU DES �LO ET CAMPEMENT AVEC ACCESSIBILITE DIFFICILE,The family lives at the level of rivers and camps with difficult accessibility,1
ecv2020,156,Son �ge ne lui permet pas de recevoir tous,His age does not allow him to receive all,32
ecv2021,157,RUPTURE AU CENTRE DE SANTE,Stockout at the health center,17
ecv2022,158,NON VACCINÉE,Unvaccinated,33
ecv2020,159,Rupture des vaccins,Stockout of vaccines,17
ecv2021,160,FERTURE DE CS POUR LA GREVE DES INFIRMERS,Closure of health centers due to nurses' strike,23
ecv2020,161,"L'INFIRME TITULAIRE ( IT ) D'AIRE D� SANT� SWAMASANGU � REFUSE DE DONN�ES AUX ENFANTS DE LA VILLAGE MAMBAMBA LES VACCIN, POUR UNE CONFLIT D'UNE BICYCLETTE DE RE.CO",The head nurse of Swamasangu health area refused to give vaccines to children from the village of Mambamba due to a conflict over a RE.CO bicycle,42
ecv2020,162,CAUSE COVID19,Due to COVID-19,31
ecv2020,163,Age,Age,32
ecv2020,164,EN VOGAGE A KINSHASA,Travelling to Kinshasa,25
ecv2020,165,L'ENFANT ETAIT NE A TSHITOLO PAS DE CENTRE DE SANT�,"The child was born in Tshitolo, no health center",40
ecv2022,166,ABSENT PENDANT LA VACCINATION,Absent during vaccination,16
ecv2020,167,"Le jour o� je suis venus pour faire vacciner mon enfant malgr� mon insistance, les prestataires on pr�text� la fatigue pourtant je suis un journalier vivant aux travaux de mes mains. C'est alors que je ne suis plus rentr�.","The day I came to vaccinate my child despite my insistence, the providers claimed they were too tired even though I am a day laborer living off the work of my hands. That's why I did not return",42
ecv2021,168,GREVE DES PRESTATAIRE,Providers' strike,23
ecv2022,169,INCERTITUDE,Uncertainty,28
ecv2021,170,OUBLIE DE LA DATE DU RENDEZ-VOUS DE LA VACCINATION,Forgot the vaccination appointment date,37
ecv2020,171,Ignorance des autres vaccins,Ignorance of other vaccines,12
ecv2020,172,J me suis pas  rappel�,I did not remember,37
ecv2020,173,LA MAMAN IGNORE LA DATE DE RDV POUR LA PRISE DE VAR ET VAA,The mother forgets the appointment date for VAR and VAA,37
ecv2022,174,LA MERE EST DECEDES,The mother has died,4
ecv2021,175,LA PEUR DE LA MERE SUITE A L ABCES QUI AVAIT EU SON FILS AINE APRES LA VACCINATION,Mother's fear due to the abscess that her eldest son had after vaccination,10
ecv2022,176,FLACON VAR POUR BEAUCOUP D ’ ENFANTS ET NON UN,VAR vial for many children and not one,38
ecv2022,177,NON RECU LE VPO DE NAISSANCE,Did not receive the birth OPV,41
ecv2020,178,"ABSENCE PROLONG�E DU DOMICILE ,OUBLI DE RENDEZ VOUS","Prolonged absence from home, forgot the appointment",25
ecv2020,179,CALANDRIER ENCOURS,Schedule in progress,32
ecv2020,180,NAISSANCE A DOMICILE,Home birth,40
ecv2020,181,LES VACCINATEURS NE PASSENT PLUS,Vaccinators no longer pass by,16
ecv2020,182,� re�u tout vaccin sauf vaa et var,Received all vaccines except VAA and VAR,33
ecv2020,183,LE GRAND PERE DE JEAN EST MUPOSTOLO,Jean's grandfather is Mupostolo,33
ecv2021,184,MÈRE N'EST PAS INFORMÉE SUR VACCINATION DE ROUTINE OU CPS,Mother is not informed about routine vaccination or CPS,11
ecv2020,185,REFUS PERSONNEL,Personal refusal,9
ecv2020,186,FATIGUE ET NEGLIGENCE,Tiredness and negligence,39
ecv2020,187,On �tait � voyage,We were on a trip,25
ecv2021,188,LA GARDIENNE DÉCLARE QUE L'ENFANT A REÇU TOUS LES VACCINS,The caregiver declares that the child received all the vaccines,35
ecv2022,189,NEGLIGEANCE DE LA MERE GARDIENNE,Mother's negligence,39
ecv2022,190,MERE FATIGUÉE PAR LA GROSSESSE,Mother tired due to pregnancy,3
ecv2020,191,Elle a eu peur d �tre contamin� par le covid,She was afraid of being infected by COVID,31
ecv2020,192,COVID-19,COVID-19,31
ecv2020,193,N�gligence d� � l'exode rural.,Negligence due to rural exodus,25
ecv2021,194,INTERDICTION GRAND PERE DE VACCINER SES PETITS FILS,Grandfather forbids vaccinating his grandsons,22
ecv2020,195,OUBLIE,Forgotten,37
ecv2020,196,LE VACCIN  INJECTABLE  DONNE  DE LA FI�VRE,The injectable vaccine causes fever,10
ecv2022,197,"LORS DE SEANCES DE VACCINATION, NOUS ETIONS DANS DES CAMPEMENTS POUR CULTIVER","During vaccination sessions, we were in camps to cultivate",34
ecv2020,198,"NONCHALANCE, MOINS DE 9 MOIS","Indifference, less than 9 months",32
ecv2020,199,DEPLACEMENT DE LA M�RE POUR LE SOIN,Mother's movement for care,25
ecv2020,200,PEUR DE COVID19,Fear of COVID-19,31
ecv2021,201,La mort de la grand mère,Grandmother's death,4
ecv2021,202,NEGLIGEANCE DE LA MAMAN,Mother's negligence,39
ecv2020,203,D�c�s de la maman et n�gligence,Mother's death and negligence,4
ecv2020,204,Parce que l'enfant n'a pas encore totalise neuf mois,Because the child has not yet reached nine months,32
ecv2022,205,SEJOURS DE LA FAMILLE AU CHAMPS,Family stays in the fields,34
ecv2020,206,Le p�re absent dans  le menage,Father absent from the household,4
ecv2020,207,SELON LA M�RE MADO A PRIS TOUS LES VACCINS MAIS ELLE LA PERDUE LA FILLE,"According to the mother, Mado received all the vaccines but she lost her daughter",35
ecv2021,208,LA MAMAN A DÉMÉNAGÉ AU CHAMPS,The mother moved to the fields,34
ecv2020,209,TRAVAUX CHAMP�TRES ME PRENANT BEAUCOUP DE TEMPS,Fieldwork takes up a lot of my time,34
ecv2021,210,MANQUE D’ARGENT,Lack of money,19
ecv2021,211,VACCIN DONNE LA MALADIE A NOS ENFANTS,Vaccines cause disease in our children,8
ecv2022,212,ABSENCE DE PRISE EN CHARGE DES EFFETS SECONDAIRES DE VACCINS PAR LES PRESTATAIRES DE FOSA,Lack of management of vaccine side effects by healthcare providers,10
ecv2021,213,MERE EN CEINTE FATIGUE,Pregnant mother tired,3
ecv2020,214,ENFANT N'A PAS ENCORE 9MOIS,Child has not yet reached 9 months,32
ecv2020,215,RETOURNER CERTAINES MERES POUR RESPECTER LA DISTENCIATION,Turning some mothers away to maintain distancing,24
ecv2020,216,D�PLACEMENT FAMILIAL VERS LE CHAMPS � PLUSIEURS KILOM�TRES DU POSTE DE SANT� KANGENGE,Family moved to the fields several kilometers from the Kangenge health post,34
ecv2020,217,L ENFANT N A PAS ENCORE FINI SON CALENDRIER VACCINAL,The child has not yet completed his vaccination schedule,32
ecv2021,218,Trop des voyages,Too much travel,25
ecv2022,219,PROBLEME DE REMPLISSAGE DE LA CARTE DE VACCINATION,Problem filling out the vaccination card,43
ecv2020,220,"L'INFIRME TITULAIRE ( IT )D'AIRE DE SANT� SWAMASANGU A REFUSE DE DONN�ES DES ENFANTS MAMBAMBA LES VACCIN, POUR UNE CONFLIT D'UNE BICYCLETTE DE RE.CO",The head nurse of Swamasangu health area refused to give vaccines to children from Mambamba village due to a conflict over a RE.CO bicycle,42
ecv2021,221,NEGLIGEANCE  DES PERSONNES  DE SANTE ENVERS  LES MAMAN,Negligence of health personnel towards mothers,42
ecv2021,222,AVAIT EFFECTUÉ UN DÉPLACEMENT,Had traveled,25
ecv2020,223,L'enfant na pas encore totalis� l'�ge,The child has not yet reached the age,32
ecv2020,224,VAR ET VAA A 9 MOIS,VAR and VAA at 9 months,32
ecv2021,225,CENTRE DE SANTÉ FERMÉ,Health center closed,18
ecv2021,226,VOYAGE EN DÉPLACEMENT DE TOUT LE MÉNAGE DURANT LONGTEMPS,The whole household was away for a long time due to travel,25
ecv2020,227,Crainte d'infection � covid19,Fear of COVID-19 infection,31
ecv2022,228,ABSENCE DE LA MERE DE L’ENFANT,Absence of the child's mother,25
ecv2020,229,ELLE PASSE TOUT SON TEMPS AU CHAMPS,She spends all her time in the fields,34
ecv2020,230,DEPLACEMENT POUR LA RECOLTE,Moving for the harvest,34
ecv2020,231,N APAS ENCORE ATTEINT 9MOIS,Has not yet reached 9 months,32
ecv2020,232,"Il a encore l,�ge de 6 mois",He is still 6 months old,32
ecv2022,233,CALLENDRIER EN COURS,Schedule in progress,32
ecv2020,234,M�RE AVAIT VOYAGE,Mother traveled,25
ecv2021,235,"CONFINEMENT ET GREVE DES INFIRMIER, LE CENTRE ÉTAIT FERMÉ","Lockdown and nurses' strike, the center was closed",23
ecv2020,236,IL N A PAS ENCORE ATTEINT 9MOIS POUR TERMINER SES VACCINS,Has not yet reached 9 months to complete his vaccines,32
ecv2021,237,DÉPLACEMENT  DES  PARENTS,Parents' movement,25
ecv2020,238,Non respect des rendez-vous de vaccination par les parents,Parents not adhering to vaccination appointments,33
ecv2021,239,FOYER INSTABLE,Unstable home,4
ecv2020,240,CONFLIT ARM� AYANT OCCASIONN� LA FUITE,Armed conflict causing flight,26
ecv2022,241,Rupture stock,Stockout,17
ecv2020,242,N'a pas encore compl�ter 9 mois pour recevoir du VAR et VAA.,Has not yet completed 9 months to receive VAR and VAA,32
ecv2020,243,Probl�mes du coronavirus,Coronavirus issues,31
ecv2020,244,"OUBLIE , NEGLIGEANCE","Forgetfulness, negligence",39
ecv2021,245,Deplacement de la mère  vers une autre province,Mother's movement to another province,25
ecv2021,246,L'ENFANT VACCINE MAIS L' INFIRMIER N'EN4EGISTRE PAS,The child was vaccinated but the nurse did not record it,35
ecv2022,247,MANQUE DE MOYEN POUR LE DEPLACEMENT DANS LE VILLAGE OU SE FAIT LA VACCINATION,Lack of means for travel to the village where vaccination is done,1
ecv2021,248,TRÈS OCCUPÉE,Very busy,3
ecv2020,249,La m�re de l'enfant �tait au campement,The child's mother was at the campsite,34
ecv2021,250,PAS DE RAPPEL DES INFIRMIERS,No reminders from nurses,11
ecv2020,251,CARTE EST RESTE AU CS,Card is left at the health center,43
ecv2020,252,La m�re �tait en d�placement avec l'enfant,The mother was traveling with the child,25
ecv2020,253,PROCHAIN RENDEZ VOUS DANS 3 MOIS,Next appointment in 3 months,32
ecv2022,254,DECES DE SON ENFANTS APRES ABCES  POST VACCINAL,Death of her child after post-vaccination abscess,10
ecv2021,255,LA MERE  EN DEUIL,Mother in mourning,4
ecv2020,256,CALENDRIER ENCOURS,Schedule in progress,32
ecv2020,257,L'enfant n'a pas encore atteint 9 pour recevoir d'autres anti g�ne qui reste,The child has not yet reached 9 to receive other antigens that remain,32
ecv2020,258,DESINTERESSEMENT DE LA MAMAN,Mother's disinterest,9
ecv2020,259,PROBLEME DE RELIGION,Religious issues,21
ecv2020,260,NEGLIGENCE  DE MAMAN,Mother's negligence,39
ecv2020,261,LONG VOYAGE,Long journey,1
ecv2020,262,I'SECURITE QUI A PROVOQU� LE D�PLACEMENT DE CE DERNIERS.,Insecurity causing displacement,26
ecv2020,263,N'A PAS ENCORE ATTEINT L'AGE,Has not yet reached the age,32
ecv2020,264,ATTEND SEULEMENT SON DERNIER RDV,Just waiting for his last appointment,32
ecv2021,265,VOYAGE DE L'ENFANT AVEC SA MERE,Child traveling with his mother,25
ecv2022,266,Insecurity,Insecurity,26
ecv2020,267,RESTE LE VACCIN DE 9 MOIS L'ENFANT A 7 MOIS,"Waiting for the 9-month vaccine, the child is 7 months old",32
ecv2021,268,MENAGE EN REFUGE,Family in refuge,25
ecv2020,269,Enfant moins de 9 mois pour VAR et VAA,Child under 9 months for VAR and VAA,32
ecv2020,270,"La maman est morte d�s la naissance du b�b� alors, sa mort a perturb�e les vaccins de l'enfant.","The mother died at the baby's birth, so her death disrupted the child's vaccinations",4
ecv2020,271,OCCUP�  AUX TRAVAUX CHAMP�TRES,Busy with fieldwork,34
ecv2020,272,Enfant en cours de vaccination.,Child in the process of vaccination,32
ecv2020,273,OCCUPATION CHAMP�TRES,Agricultural occupation,34
ecv2020,274,"L'enfant a �t� mis au monde dans la for�t ou je fais mes champs ,de fois on nous am�ne de vaccins qui ne sont pas frais mais chaud ainsi j'avais pris la d�cision de ne pas le faire vaccin� au risque de payer des lourdes tribus.","The child was born in the forest where I farm, sometimes we are brought vaccines that are not fresh but hot so I decided not to have him vaccinated at the risk of paying heavy tributes",42
ecv2021,275,MERE EN DÉPLACEMENT VERS LE CHAMP,Mother moving to the field,34
ecv2020,276,EN VOYAGE LORS DU RENDEZ VOUS,Traveling during the appointment,25
ecv2020,277,Deplacement pour le cas de voyage,Movement for travel reasons,25
ecv2020,278,L ENFANT N A PAS ENCORE TOTALIS� 9MOIS POUR RECEVOIR LE VAR ET VAA,The child has not yet completed 9 months to receive VAR and VAA,32
